did	Voters	Valid	Invalid	Percentage	Percentagec	Yes	No	yesp	nop
86	2639808	853125	15224	32.9	32.9	512055	341070	60	40
141	4383701	1493092	24105	34.6	34.6	995417	497675	66.7	33.3
19	6580478	2254698	36342	34.8	34.8	974371	1280327	43.2	56.8
205	1629713	364509	6743	22.8	22.8	307839	56670	84.5	15.5
51	868773	318944	4354	37.2	37.2	205378	113566	64.4	35.6
78	3565351	1120328	21143	32	32	737503	382825	65.8	34.2
159	1454278	549937	13054	38.7	38.7	466248	83689	84.8	15.2
311	685009	174620	3512	26	26	133779	40841	76.6	23.4
221	232388	70432	841	30.7	30.7	44116	26316	62.6	37.4
61	3719758	1150130	21013	31.5	31.5	631219	518911	54.9	45.1
264	65407	19023	328	29.6	29.6	12157	6866	63.9	36.1
248	212495	76630	863	36.5	36.5	70237	6393	91.7	8.3
132	713963	256210	3435	36.4	36.4	179235	76975	70	30
116	2236898	745373	14951	34	34	364374	380999	48.9	51.1
183	2127688	581707	14176	28	28	442506	139201	76.1	23.9
43	387522	147903	1880	38.7	38.7	104061	43842	70.4	29.6
167	1579694	544109	12441	35.2	35.2	486890	57219	89.5	10.5
175	2718947	916094	23165	34.5	34.5	760704	155390	83	17
231	143584	46626	665	32.9	32.9	40687	5939	87.3	12.7
35	445322	166931	2298	38	38	85353	81578	51.1	48.9
191	2393672	593546	13320	25.4	25.4	467029	126517	78.7	21.3
256	215618	64964	949	30.6	30.6	50726	14238	78.1	21.9
108	2948656	980497	18596	33.9	33.9	468488	512009	47.8	52.2
27	3347770	1193691	16883	36.2	36.2	663975	529716	55.6	44.4
124	3276930	1084442	18505	33.7	33.7	818755	265687	75.5	24.5
94	1886212	548554	8992	29.6	29.6	360994	187560	65.8	34.2
213	872740	194416	3691	22.7	22.7	149020	45396	76.7	23.3
1	586491	244481	1926	42	42	160795	83686	65.8	34.2
0	51918866	16755012	303395	32.9	32.9	10693911	6061101	63.8	36.2
