did,Voters,Wafidin,Workers,Present,Total_voters,Valid,Invalid,Percentage,Percentagec,Yes,No,yesp,nop
19,6674865,98706,3784,2688743,2791233,2762952,28281,40.3,40.3,2720162,42790,98.5,1.5
27,3415629,38243,6418,1308971,1353632,1340449,13183,38.3,38.3,1319454,20995,98.4,1.6
141,4518941,52947,4274,1450195,1507416,1488662,18754,32.1,32.1,1459201,29461,98,2
86,2718798,22808,3253,1204971,1231032,1217220,13812,44.3,44.3,1198011,19209,98.4,1.6
108,3020674,7442,4881,1574173,1586496,1572176,14320,52.1,52.1,1551093,21083,98.7,1.3
78,3681587,20664,4203,1666493,1691360,1673968,17392,45.3,45.3,1646736,27232,98.4,1.6
116,2298208,12884,3181,1226154,1242219,1228811,13408,53.4,53.4,1212268,16543,98.7,1.3
61,3793080,8353,6363,1876901,1891617,1874597,17020,49.5,49.5,1850535,24062,98.7,1.3
124,3376941,11231,5125,1260624,1276980,1260503,16477,37.3,37.3,1234019,26484,97.9,2.1
94,1935985,2928,2684,817904,823516,815038,8478,42.2,42.2,803940,11098,98.6,1.4
51,891241,6155,1053,408617,415825,411233,4592,45.8,45.8,404687,6546,98.4,1.6
35,453377,7474,859,231439,239772,237188,2584,51,51,233672,3516,98.5,1.5
132,735103,7676,1241,290689,299606,295671,3935,39.5,39.5,289863,5808,98,2
43,396466,7457,804,136658,144919,143284,1635,34.5,34.5,140167,3117,97.8,2.2
159,1506498,3894,1608,490670,496172,486360,9812,32.6,32.6,469974,16386,96.6,3.4
167,1628192,3377,2631,385601,391609,383384,8225,23.7,23.7,370802,12582,96.7,3.3
175,2808534,3188,2533,734512,740233,723193,17040,26.2,26.2,698621,24572,96.6,3.4
183,2219387,5096,3570,538873,547539,536532,11007,24.3,24.3,515571,20961,96.1,3.9
191,2485950,3108,5004,592391,600503,591496,9007,23.8,23.8,574797,16699,97.2,2.8
213,891699,4407,1568,251588,257563,254088,3475,28.2,28.2,248571,5517,97.8,2.2
205,1676423,7328,2774,400668,410770,405064,5706,23.9,23.9,395439,9625,97.6,2.4
221,244603,30188,278,77681,108147,106758,1389,31.8,31.8,103858,2900,97.3,2.7
231,147525,668,286,51923,52877,51769,1108,35.2,35.2,49920,1849,96.4,3.6
311,703670,3672,1266,215668,220606,218203,2403,30.6,30.6,214510,3693,98.3,1.7
256,223533,6436,315,69217,75968,74557,1411,31,31,72161,2396,96.8,3.2
264,70845,40467,30,23804,64301,63123,1178,33.6,33.6,60651,2472,96.1,3.9
248,224385,7586,694,36445,44725,43910,815,16.2,16.2,42242,1668,96.2,3.8
1,681346,0,0,107041,107041,106541,500,15.7,15.7,104464,2077,98.1,1.9
0,53423485,424383,70680,20118614,20613677,20366730,246947,38.6,38.6,19985389,381341,98.1,1.9
