اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
سيدى جابر,95.83,4.17,216344,322,119927,120249,55.58,6329,113920,109166,4754
باب شرق,96.46,3.54,210436,290,116918,117208,55.70,5370,111838,107876,3962
محرم بك,96.88,3.12,323130,412,168471,168883,52.26,7541,161342,156303,5039
العطارين,96.79,3.21,56560,76,32154,32230,56.98,1345,30885,29895,990
المنشيه,97.27,2.73,33503,42,19941,19983,59.65,761,19222,18698,524
كرموز,97.75,2.25,131973,170,70366,70536,53.45,2867,67669,66144,1525
اللبان,97.51,2.49,52270,75,28915,28990,55.46,998,27992,27295,697
الجمرك,97.44,2.56,113870,153,67852,68005,59.72,2390,65615,63932,1683
مينا البصل,97.09,2.91,232628,304,117639,117943,50.70,5417,112526,109255,3271
الدخيله,96.25,3.75,248873,324,118582,118906,47.78,6503,112403,108183,4220
برج العرب,94.85,5.15,53420,90,15944,16034,30.01,980,15054,14278,776
اول الرمل,96.05,3.95,239045,320,128993,129313,54.10,6229,123084,118218,4866
ثان الرمل,96.74,3.26,386189,504,191442,191946,49.70,9563,182383,176440,5943
اول المنتزه,96.25,3.75,564861,692,280571,281263,49.79,13012,268251,258191,10060
ثان المنتزه,96.66,3.34,344922,434,174699,175133,50.77,7828,167305,161716,5589
اول العامريه,96.90,3.10,156305,201,52266,52467,33.57,2351,50116,48562,1554
ثان العامريه,97.34,2.66,102810,130,31351,31481,30.62,1207,30274,29469,805
