district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
الزقازيق اول,96.94,3.06,120190,184,68099,68283,56.81,2909,65374,63375,1999
الزقازيق ثان,96.51,3.49,144134,211,84071,84282,58.47,4193,80089,77297,2792
مركز الزقازيق,97.90,2.10,445274,541,257988,258529,58.06,9008,249521,244278,5243
مركز ابوحماد,97.69,2.31,234213,327,118760,119087,50.85,4248,114839,112182,2657
مركز ابوكبير,97.79,2.21,232666,383,115086,115469,49.63,4007,111462,109000,2462
مركز الحسينيه,98.59,1.41,174259,287,92213,92500,53.08,1902,90598,89322,1276
الصالحيه الجديده,96.17,3.83,5288,5,2779,2784,52.65,145,2639,2538,101
مركز بلبيس,97.74,2.26,408244,511,215352,215863,52.88,7877,207986,203278,4708
العاشر من رمضان,95.75,4.25,49083,61,23847,23908,48.71,1458,22450,21495,955
مركز ديرب نجم,97.97,2.03,258746,342,143865,144207,55.73,4009,140198,137350,2848
مركز فاقوس,98.38,1.62,338683,466,175414,175880,51.93,4364,171516,168729,2787
مركز كفر صقر,98.33,1.67,164070,246,91956,92202,56.20,1994,90208,88701,1507
مركز منيا القمح,97.91,2.09,401849,520,222471,222991,55.49,7790,215201,210700,4501
مركز ههيا,97.25,2.75,149494,304,74667,74971,50.15,2999,71972,69996,1976
مركز مشتول السوق,97.50,2.50,104899,141,53976,54117,51.59,1941,52176,50873,1303
مركز الابراهيميه,98.51,1.49,92221,204,54907,55111,59.76,1425,53686,52887,799
القنايات,97.77,2.23,31398,35,17039,17074,54.38,777,16297,15933,364
مركز اولاد صقر,98.50,1.50,125940,190,69404,69594,55.26,1554,68040,67019,1021
القرين,96.68,3.32,45019,49,15881,15930,35.39,757,15173,14670,503
ثان العاشر من رمضان,96.60,3.40,54037,64,25287,25351,46.91,1386,23965,23149,816
فاقوس,97.23,2.77,66812,91,34042,34133,51.09,1114,33019,32103,916
مركز صان الحجر,98.51,1.49,54179,108,29409,29517,54.48,565,28952,28520,432
مركز منشاه ابوعمر,98.70,1.30,42000,60,22830,22890,54.50,446,22444,22153,291
