did,District,EligibleVoters,TotalValidVotes,FJPVotes,FJPPCT,NourVotes,NourPCT,WafdVotes,WafdPCT,EGBlocVotes,EGBlocPCT,AlWasatVotes,AlWasatPCT,RevContVotes,RevContPCT,Others,OthersPCT
231,Al Wadi Al Gadid,140527,86225,22792,26.40,34376,39.90,3449,4.00,6445,7.50,746,0.90,0,0.00,18417,21.36
27,Alexandria (2),3303916,2164338,753951,34.80,677551,31.30,129938,6.00,246712,11.40,55220,2.60,149036,6.90,151930,7.02
183,Assiut (2),2071879,1050215,389393,37.10,239002,22.80,38524,3.70,204957,19.50,28105,2.70,12098,1.20,138136,13.15
213,Aswan,850648,440071,148884,33.80,104228,23.70,34274,7.80,40779,9.30,12394,2.80,10260,2.30,89252,20.28
124,Beheira (2),3198626,1909313,675515,35.40,743656,38.90,166143,8.70,70512,3.70,11172,0.60,36474,1.90,205841,10.78
159,Beni Suef (2),1415226,905629,369011,40.70,307636,34.00,91313,10.10,31059,3.40,18247,2.00,19420,2.10,68943,7.61
19,Cairo (4),6563752,3492086,1358025,38.90,542319,15.50,260194,7.50,706740,20.20,149798,4.30,120171,3.40,354839,10.16
61,Dakhaliya (3),3691143,2259320,753182,33.30,629227,27.90,239555,10.60,55645,2.50,40268,1.80,227863,10.10,313580,13.88
51,Damietta,849235,543594,169253,31.10,209726,38.60,24630,4.50,18378,3.40,73876,13.60,3982,0.70,43749,8.05
167,Fayyoum (2),1545556,738886,332129,44.90,246627,33.40,16048,2.20,26429,3.60,22313,3.00,22445,3.00,72895,9.87
108,Gharbiya (2),2918551,1880779,627434,33.40,550997,29.30,294358,15.70,112306,6.00,39000,2.10,29009,1.50,227675,12.11
141,Giza (2),4262272,2836028,1118236,39.40,811092,28.60,174926,6.20,291563,10.30,167298,5.90,40077,1.40,232836,8.21
132,Ismailiya,696351,481384,183859,38.20,132992,27.60,35637,7.40,31998,6.60,10138,2.10,5873,1.20,80887,16.80
94,Kafr El Shiekh (2),1863834,1014531,306550,30.20,344661,34.00,133102,13.10,6976,0.70,31815,3.10,17979,1.80,173448,17.10
311,Luxor,667254,321285,118566,36.90,50691,15.80,35533,11.10,41726,13.00,10098,3.10,0,0.00,64671,20.13
248,Matrouh,199607,112860,16314,14.50,76511,67.80,7655,6.80,1977,1.80,3873,3.40,0,0.00,6530,5.79
116,Menoufiya (2),2148798,1305208,479395,36.70,247721,19.00,243450,18.70,37973,2.90,47721,3.70,11280,0.90,237668,18.21
175,Minya (2),2642476,1462942,605664,41.40,365220,25.00,75222,5.10,177638,12.10,77841,5.30,7563,0.50,153794,10.51
256,North Sinai,203346,111221,39315,35.30,29623,26.60,6389,5.70,1828,1.60,7913,7.10,0,0.00,26153,23.51
35,Port Said,437134,295556,96532,32.70,61136,20.70,41059,13.90,28510,9.60,38080,12.90,5460,1.80,24779,8.38
86,Qalubiya (2),2583418,1734774,650024,37.50,479405,27.60,136887,7.90,114536,6.60,58848,3.40,34179,2.00,260895,15.04
205,Qena (2),1585191,689731,202733,29.40,141699,20.50,51574,7.50,0,0.00,20091,2.90,10022,1.50,263612,38.22
221,Red Sea,221011,114022,40693,35.70,0,0.00,11049,9.70,19391,17.00,6285,5.50,4776,4.20,31828,27.91
78,Sharqiya (2),4551751,2336799,858373,36.70,551495,23.60,287005,12.30,121747,5.20,61475,2.60,33751,1.40,422953,18.10
191,Souhag (2),2322898,1118796,298793,26.70,294002,26.30,65787,5.90,176744,15.80,37928,3.40,14674,1.30,230868,20.64
264,South Sinai,60496,33701,14334,42.50,0,0.00,5614,16.70,3766,11.20,840,2.50,0,0.00,9147,27.14
43,Suez,378917,280661,75316,26.80,127836,45.50,12983,4.60,23488,8.40,14396,5.10,0,0.00,26642,9.49
0,TOTAL,51373813,29719955,10704266,36.00,7999429,26.90,2622298,8.80,2599823,8.70,1045779,3.50,816392,2.70,3931968,13.23
