المحافظة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
الأقصر,672917,204603,4298,31.0%,627,405,352,34843,38627,350,477,2669,47432,32771,199,1120,44731
ج سيناء,62432,24609,537,40.3%,56,48,40,6911,4298,38,76,327,4067,3648,9,197,4894
ش سيناء,207425,87505,1415,42.9%,126,117,121,20937,15830,95,130,1235,8470,7616,49,348,32431
مطروح,204215,64900,824,32.2%,81,107,52,6849,33531,90,68,439,5419,4991,26,197,13050
الوادى الجديد,141601,54207,962,39.0%,256,218,181,9406,13338,107,159,574,6448,7607,44,298,15571
البحر الأحمر,224231,93110,1163,42.0%,138,108,83,18651,16328,113,77,984,18042,22384,36,573,15593
أسوان,858280,261523,4890,31.0%,919,645,700,59790,44801,503,660,3385,45824,41686,196,1919,60495
قنا,1601297,387625,7913,24.7%,1395,825,886,74929,78779,832,704,3686,83858,42277,338,1848,97268
سوهاج,2340851,681100,15901,29.8%,1948,1354,1202,100035,136175,1178,1450,6496,177418,47363,691,3236,202554
أسيوط,2080391,679877,20582,33.7%,2339,1654,1391,55887,136006,1364,1405,6335,193503,65017,891,3640,210445
المنيا,2657774,966124,38401,37.8%,2182,1497,1231,56573,150509,1460,1147,7665,265779,64437,1225,4464,407955
الفيوم,1550083,615710,23460,41.2%,1122,773,669,32558,168601,1124,675,4218,75084,37882,620,2899,289485
بني سويف,1422071,623276,23467,45.5%,1521,1044,1532,57661,122016,1047,1030,4937,119768,48493,767,3157,260303
الجيزة,4280659,2154083,33971,51.1%,2517,1703,1761,236106,423097,2771,1620,21724,372895,474011,859,15161,599858
الإسماعيلية,699716,350386,4605,50.7%,443,471,348,65988,59697,410,423,3709,52377,71679,119,2089,92633
البحيرة,3222893,1366191,26339,43.2%,2180,1638,1168,243364,334480,1880,2232,12313,171693,196523,720,5325,392675
المنوفية,2207029,1128816,19691,52.0%,1188,785,732,36015,147587,1163,778,13090,603815,109060,443,6055,208105
الغربية,2907544,1426115,20007,49.7%,6624,1215,996,150445,220459,1356,1347,14158,459437,313252,640,7505,248681
كفر الشيخ,1856480,783316,12694,42.9%,1185,777,585,22906,67164,472,983,3298,63395,486662,681,1276,133932
القليوبية,2596352,1324736,21337,51.8%,1720,1314,1080,155452,170659,1366,1195,12883,395553,272662,512,7988,302352
الشرقية,3495451,1695748,28808,49.3%,1850,1416,1154,69725,220950,1386,1168,14175,627819,211046,844,7560,536655
الدقهلية,3666554,1685228,23724,46.6%,2155,1636,1210,199287,247626,1503,1798,14903,418895,393741,830,13058,388586
دمياط,851735,450192,5601,53.5%,489,346,224,66397,107816,408,371,3869,54937,106905,138,1870,106422
السويس,381342,207739,2290,55.1%,250,241,194,43471,41794,275,165,2086,21817,45534,63,2125,49724
بورسعيد,436042,259235,2805,60.1%,281,214,239,37274,32537,339,193,1890,40948,104929,80,1329,38982
الأسكندرية,3286831,1809096,17787,55.6%,2998,1025,840,292648,388051,1943,1645,26819,212257,571772,417,9226,299455
القاهرة,6491521,3568591,40794,55.6%,3415,2232,3002,393097,561027,5242,1994,43517,933835,988638,778,27621,604193
المصرين بالخارج,586803,311875,2454,53.6%,85,81,63,41645,83456,374,22,3990,24542,47687,34,1972,107924
الإجمالي,50403717,23265516,406720,47.0%,40090,23889,22036,2588850,4065239,29189,23992,235374,5505327,4820273,12249,134056,5764952
