did,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,Validp,Invalidp,first,firstp,second,secondp
175,"2,657,774 ","966,124 ","38,401 ",37.80%,"2,182 ","1,497 ","1,231 ","56,573 ","150,509 ","1,460 ","1,147 ","7,665 ","265,779 ","64,437 ","1,225 ","4,464 ","407,955 ",36.35,1.44,"407,955 ",42.23,"265,779 ",27.51
19,"6,491,521 ","3,568,591 ","40,794 ",55.60%,"3,415 ","2,232 ","3,002 ","393,097 ","561,027 ","5,242 ","1,994 ","43,517 ","933,835 ","988,638 ",778 ,"27,621 ","604,193 ",54.97,0.63,"988,638 ",27.7,"933,835 ",26.17
311,"672,917 ","204,603 ","4,298 ",31.00%,627 ,405 ,352 ,"34,843 ","38,627 ",350 ,477 ,"2,669 ","47,432 ","32,771 ",199 ,"1,120 ","44,731 ",30.41,0.64,"47,432 ",23.18,"44,731 ",21.86
264,"62,432 ","24,609 ",537 ,40.30%,56 ,48 ,40 ,"6,911 ","4,298 ",38 ,76 ,327 ,"4,067 ","3,648 ",9 ,197 ,"4,894 ",39.42,0.86,"6,911 ",28.08,"4,894 ",19.89
256,"207,425 ","87,505 ","1,415 ",42.90%,126 ,117 ,121 ,"20,937 ","15,830 ",95 ,130 ,"1,235 ","8,470 ","7,616 ",49 ,348 ,"32,431 ",42.19,0.68,"32,431 ",37.06,"20,937 ",23.93
248,"204,215 ","64,900 ",824 ,32.20%,81 ,107 ,52 ,"6,849 ","33,531 ",90 ,68 ,439 ,"5,419 ","4,991 ",26 ,197 ,"13,050 ",31.78,0.4,"33,531 ",51.67,"13,050 ",20.11
231,"141,601 ","54,207 ",962 ,39.00%,256 ,218 ,181 ,"9,406 ","13,338 ",107 ,159 ,574 ,"6,448 ","7,607 ",44 ,298 ,"15,571 ",38.28,0.68,"15,571 ",28.73,"13,338 ",24.61
221,"224,231 ","93,110 ","1,163 ",42.00%,138 ,108 ,83 ,"18,651 ","16,328 ",113 ,77 ,984 ,"18,042 ","22,384 ",36 ,573 ,"15,593 ",41.52,0.52,"22,384 ",24.04,"18,651 ",20.03
213,"858,280 ","261,523 ","4,890 ",31.00%,919 ,645 ,700 ,"59,790 ","44,801 ",503 ,660 ,"3,385 ","45,824 ","41,686 ",196 ,"1,919 ","60,495 ",30.47,0.57,"60,495 ",23.13,"59,790 ",22.86
205,"1,601,297 ","387,625 ","7,913 ",24.70%,"1,395 ",825 ,886 ,"74,929 ","78,779 ",832 ,704 ,"3,686 ","83,858 ","42,277 ",338 ,"1,848 ","97,268 ",24.21,0.49,"97,268 ",25.09,"83,858 ",21.63
