district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Shubra,شبرا,92284,52331,449,57.2%,50,19,27,3744,3992,48,15,339,29141,9739,14,252,4951
Al Sahel,الساحل,349380,201243,1814,58.1%,157,77,118,18190,24125,240,105,2054,76043,51972,38,1334,26790
Rod El Farag,روض الفرج,185677,100023,1363,54.6%,99,59,68,9546,10175,117,44,826,40230,26172,23,653,12011
Zeitoun,الزيتون,184572,111574,855,60.9%,55,34,92,11586,17963,182,40,1397,32091,33264,18,845,14007
Amirya,الاميرية,142729,81940,1102,58.2%,55,50,60,6713,12822,100,35,993,19111,24922,16,622,16441
El-Quba,حدائق القبة,298085,160452,1765,54.4%,165,112,166,16173,23961,264,92,1828,43781,46672,29,1534,25675
El Sharabiya,الشرابية,213929,111429,1587,52.8%,129,82,98,9192,13065,133,80,1060,36174,28083,29,890,22414
Elzawia El Hamra,الزاوية الحمراء,239577,127804,1759,54.1%,114,94,88,9095,15677,156,80,1241,40437,33935,34,1004,25849
Saida Zineb,السيدة زينب,159514,85337,993,54.1%,78,52,100,13974,11313,171,77,995,19799,27786,15,707,10270
El Khalifa,الخليفة,128625,64163,1117,50.8%,85,52,72,10893,8121,124,63,661,14221,19733,19,481,9638
Almokattam,المقطم,65602,39892,468,61.5%,36,29,41,4551,7760,57,30,693,7439,12534,3,346,6373
AL Bassateen,البساتين,259700,124901,1682,48.7%,157,117,114,13379,20836,157,86,1286,20838,39735,31,1051,27114
Misr El Kadima,مصر القديمة,226554,116464,1632,52.1%,149,80,96,16484,20715,229,104,1565,25870,32806,38,843,17485
Misr El Gedia,مصر الجديدة,166550,101515,654,61.3%,79,10,89,17769,17137,170,21,1772,30283,25540,8,789,7848
Madinat Nasr 1,مدينة نصر اول,362584,238416,1652,66.2%,134,52,149,32392,56777,435,50,5636,50405,63638,12,1788,26948
Madinat Nasr 2,مدينة نصر ثان,52980,33673,267,64.1%,20,4,30,4153,7281,49,10,745,7253,9521,2,254,4351
Al Matrya ,المطرية,457559,236715,2572,52.3%,241,218,188,18564,34341,296,150,2235,61814,62382,67,1955,54264
Ain Shams,عين شمس,365455,197772,1841,54.6%,192,120,186,17757,32833,252,80,2139,50977,59230,49,1489,32468
Al Salam district 1,اول السلام,192791,97659,1234,51.3%,116,92,114,8200,13764,144,65,1017,22484,31070,24,886,19683
Al Salam district 2,ثان السلام,63820,30241,481,48.1%,49,37,30,2719,3527,47,41,233,6933,10449,14,276,5886
El Marg,المرج,285092,144699,1831,51.4%,152,139,119,9848,20312,139,107,1294,41657,30875,43,972,39042
El Nozha,النزهة,181622,121239,790,67.2%,55,15,115,18831,23366,235,18,2192,35928,30126,7,846,9505
Al Zaher,الظاهر,78265,48176,612,62.3%,42,29,42,6171,6247,79,24,513,16765,13312,6,378,4568
Al Waili,الوايلى,98132,54218,951,56.2%,61,22,77,7615,7992,103,24,687,14455,16880,5,470,5827
Manshiyat Naser,منشاة ناصر,88376,34468,724,39.8%,89,66,42,2952,3739,51,46,250,10143,8631,29,246,8184
El Gamaliya ,الجمالية,103467,46846,653,45.9%,59,40,56,5945,5138,80,41,365,14335,13380,17,340,7050
Al Darb al—Ahmar,الدرب الاحمر,86942,45674,776,53.4%,54,33,46,6538,5604,97,33,439,12027,15071,12,341,5379
Boulaq,بولاق,89715,42246,856,48.0%,80,37,39,6667,4797,68,36,368,11690,11170,11,262,7021
Qasr al-Nil,قصر النيل,32449,19398,140,60.2%,13,3,9,6131,2657,46,5,285,4867,4171,1,182,1028
Abdeen,عابدين,57741,32796,449,57.6%,29,14,25,5629,4353,84,16,383,8356,10151,8,264,3484
El Azbakia,الازبكية,34946,18739,261,54.4%,20,4,10,1844,1875,19,8,146,8567,4176,5,131,1934
Bab el-Shaariya,باب الشعرية,66069,34832,612,53.6%,37,21,37,4838,4031,58,27,295,10154,10290,6,256,4782
El Mosky,الموسكى,35209,17809,213,51.2%,12,10,14,2377,1961,19,15,160,5106,5370,5,96,2664
Dar Es Salam,دار السلام,189200,98739,1300,52.9%,93,61,76,9559,17742,117,66,900,17695,32048,19,760,19603
El Maadi,المعادى,179642,109717,1076,61.7%,75,46,82,15659,21915,176,45,1755,19880,33001,22,878,16183
Al Tibbeen,التبين,78522,38120,692,49.4%,49,45,28,4073,6326,44,38,288,5236,8144,16,317,13516
15th of May District,خمسة عشر مايو,70173,48997,447,70.5%,45,25,38,4105,10593,51,24,675,7722,15038,6,460,10215
Helwan,حلوان,439767,238966,2583,54.9%,248,216,181,23173,42362,315,137,2512,43474,61828,71,1855,62594
New Cairo 1,اول القاهرة الجديدة,32945,22794,233,69.9%,10,2,16,2422,5912,30,6,598,4006,5353,1,197,4241
New Cairo 2,ثان القاهرة الجديدة,16391,11702,59,71.8%,6,2,5,1404,2981,17,0,287,2310,3102,0,105,1483
New Cairo 3,ثالث القاهرة الجديدة,21529,13751,160,64.6%,10,7,10,1176,2780,20,7,199,2115,4350,3,141,2933
Shrooq,الشروق,11800,7959,40,67.8%,2,2,4,778,1691,15,1,181,1469,2161,0,74,1581
Madinat Badr,مدينة بدر,5560,3162,49,57.8%,14,3,5,288,468,8,2,30,554,827,2,51,910
Total,الإجمالي,6491521,3568591,40794,55.6%,3415,2232,3002,393097,561027,5242,1994,43517,933835,988638,778,27621,604193
