did	Voters 	Valid	 Invalid	Percentage	Validp	Invalidp	C13	C13p	 C9	C9p	Voters_r1	Valid_r1	Invalid_r1	Percentage_r1	C9_r1	C13_r1	Validp_r1	Invalidp_r1
311	"672,812"	"264,353"	"6,781"	40.3	39.29	1.01	"124,120"	47	"140,233"	53	672917	204603	4298	31.00	47432	44731	30.41	0.64
264	"62,408"	"24,742"	733	40.8	39.65	1.17	"12,286"	49.7	"12,456"	50.3	62432	24609	537	40.30	4067	4894	39.42	0.86
256	"207,388"	"94,964"	"2,401"	46.9	45.79	1.16	"58,415"	61.5	"36,549"	38.5	207425	87505	1415	42.90	8470	32431	42.19	0.68
248	"204,133"	"81,242"	"1,629"	40.6	39.8	0.8	"65,095"	80.1	"16,147"	19.9	204215	64900	824	32.20	5419	13050	31.78	0.4
231	"141,576"	"63,009"	"1,320"	45.4	44.51	0.93	"39,934"	63.4	"23,075"	36.6	141601	54207	962	39.00	6448	15571	38.28	0.68
221	"224,151"	"94,791"	"2,687"	43.5	42.29	1.2	"46,803"	49.4	"47,988"	50.6	224231	93110	1163	42.00	18042	15593	41.52	0.52
213	"857,984"	"317,424"	"7,776"	37.9	37	0.91	"164,826"	51.9	"152,598"	48.1	858280	261523	4890	31.00	45824	60495	30.47	0.57
205	"1,601,111"	"514,089"	"15,179"	33.1	32.11	0.95	"285,894"	55.6	"228,195"	44.4	1601297	387625	7913	24.70	83858	97268	24.21	0.49
191	"2,340,446"	"912,853"	"26,103"	40.1	39	1.12	"531,636"	58.2	"381,217"	41.8	2340851	681100	15901	29.80	177418	202554	29.1	0.68
183	"2,079,392"	"901,539"	"26,837"	44.6	43.36	1.29	"554,519"	61.5	"347,020"	38.5	2080391	679877	20582	33.70	193503	210445	32.68	0.99
175	"2,656,815"	"1,332,677"	"43,607"	51.8	50.16	1.64	"858,557"	64.4	"474,120"	35.6	2657774	966124	38401	37.80	265779	407955	36.35	1.44
167	"1,549,061"	"761,330"	"23,091"	50.6	49.15	1.49	"591,995"	77.8	"169,335"	22.2	1550083	615710	23460	41.20	75084	289485	39.72	1.51
159	"1,421,007"	"770,342"	"24,261"	55.9	54.21	1.71	"512,079"	66.5	"258,263"	33.5	1422071	623276	23467	45.50	119768	260303	43.83	1.65
141	"4,279,783"	"2,263,425"	"82,263"	54.8	52.89	1.92	"1,351,526"	59.7	"911,899"	40.3	4280659	2154083	33971	51.10	372895	599858	50.32	0.79
132	"699,548"	"376,576"	"11,642"	55.5	53.83	1.66	"204,307"	54.3	"172,269"	45.7	699716	350386	4605	50.70	52377	92633	50.08	0.66
124	"3,220,325"	"1,548,271"	"45,043"	49.5	48.08	1.4	"907,377"	58.6	"640,894"	41.4	3222893	1366191	26339	43.20	171693	392675	42.39	0.82
116	"2,204,822"	"1,323,265"	"33,949"	61.6	60.02	1.54	"376,677"	28.5	"946,588"	71.5	2207029	1128816	19691	52.00	603815	208105	51.15	0.89
108	"2,904,666"	"1,575,883"	"45,103"	55.8	54.25	1.55	"583,748"	37	"992,135"	63	2907544	1426115	20007	49.70	459437	248681	49.05	0.69
94	"1,855,366"	"768,005"	"23,223"	42.6	41.39	1.25	"425,514"	55.4	"342,491"	44.6	1856480	783316	12694	42.90	63395	133932	42.19	0.68
86	"2,590,130"	"1,460,537"	"42,562"	58	56.39	1.64	"609,253"	41.7	"851,284"	58.3	2596352	1324736	21337	51.80	395553	302352	51.02	0.82
78	"3,492,594"	"1,928,216"	"50,070"	56.6	55.21	1.43	"881,581"	45.7	"1,046,635"	54.3	3495451	1695748	28808	49.30	627819	536655	48.51	0.82
61	"3,663,584"	"1,904,744"	"51,243"	53.4	51.99	1.4	"845,390"	44.4	"1,059,354"	55.6	3666554	1685228	23724	46.60	418895	388586	45.96	0.65
51	"851,658"	"461,403"	"14,569"	55.9	54.18	1.71	"258,475"	56	"202,928"	44	851735	450192	5601	53.50	54937	106422	52.86	0.66
43	"381,298"	"205,963"	"7,550"	56	54.02	1.98	"129,229"	62.7	"76,734"	37.3	381342	207739	2290	55.10	21817	49724	54.48	0.6
35	"435,976"	"239,890"	"13,577"	58.1	55.02	3.11	"109,768"	45.8	"130,122"	54.2	436042	259235	2805	60.10	40948	38982	59.45	0.64
27	"3,285,392"	"1,687,148"	"76,274"	53.7	51.35	2.32	"970,131"	57.5	"717,017"	42.5	3286831	1809096	17787	55.60	212257	299455	55.04	0.54
19	"6,488,564"	"3,399,110"	"158,687"	54.8	52.39	2.45	"1,505,103"	44.3	"1,894,007"	55.7	6491521	3568591	40794	55.60	933835	604193	54.97	0.63
1	"586,804"	"301,720"	"5,092"	52.3	51.42	0.87	"225,893"	74.9	"75,827"	25.1	586803	311875	2454	53.60	24542	107924	53.15	0.42
0	"50,958,794"	"25,577,511"	"843,252"	50	50.19	1.65	"13,230,131"	52	"12,347,380"	48	50403717	23265516	406720	47.00	5505327	5764952	46.16	0.81
