did,Voters,Valid,Invalid,Percentage,Validp,Invalidp,C13,C13p,C9,C9p,Voters_r1,Valid_r1,Invalid_r1,Percentage_r1,C9_r1,C9_r1p,C13_r1,C13_r1p,Validp_r1,Invalidp_r1,Voter_variation,valid_variation,invalid_variation,C13_vote_variation,C9_vote_variation,turnout_variation
311,"672,812 ","264,353 ","6,781 ",40.3,39.29,1.01,"124,120 ",47,"140,233 ",53,"672,917 ","204,603 ","4,298 ",31,"47,432 ",23.18,"44,731 ",21.86,30.41,0.64,(105),"59,750 ","2,483 ","79,389 ","92,801 ",9.3
264,"62,408 ","24,742 ",733 ,40.8,39.65,1.17,"12,286 ",49.7,"12,456 ",50.3,"62,432 ","24,609 ",537 ,40.3,"4,067 ",16.53,"4,894 ",19.89,39.42,0.86,(24),133 ,196 ,"7,392 ","8,389 ",0.5
256,"207,388 ","94,964 ","2,401 ",46.9,45.79,1.16,"58,415 ",61.5,"36,549 ",38.5,"207,425 ","87,505 ","1,415 ",42.9,"8,470 ",9.68,"32,431 ",37.06,42.19,0.68,(37),"7,459 ",986 ,"25,984 ","28,079 ",4
248,"204,133 ","81,242 ","1,629 ",40.6,39.8,0.8,"65,095 ",80.1,"16,147 ",19.9,"204,215 ","64,900 ",824 ,32.2,"5,419 ",8.35,"13,050 ",20.11,31.78,0.4,(82),"16,342 ",805 ,"52,045 ","10,728 ",8.4
231,"141,576 ","63,009 ","1,320 ",45.4,44.51,0.93,"39,934 ",63.4,"23,075 ",36.6,"141,601 ","54,207 ",962 ,39,"6,448 ",11.9,"15,571 ",28.73,38.28,0.68,(25),"8,802 ",358 ,"24,363 ","16,627 ",6.4
221,"224,151 ","94,791 ","2,687 ",43.5,42.29,1.2,"46,803 ",49.4,"47,988 ",50.6,"224,231 ","93,110 ","1,163 ",42,"18,042 ",19.38,"15,593 ",16.75,41.52,0.52,(80),"1,681 ","1,524 ","31,210 ","29,946 ",1.5
213,"857,984 ","317,424 ","7,776 ",37.9,37,0.91,"164,826 ",51.9,"152,598 ",48.1,"858,280 ","261,523 ","4,890 ",31,"45,824 ",17.52,"60,495 ",23.13,30.47,0.57,(296),"55,901 ","2,886 ","104,331 ","106,774 ",6.9
205,"1,601,111 ","514,089 ","15,179 ",33.1,32.11,0.95,"285,894 ",55.6,"228,195 ",44.4,"1,601,297 ","387,625 ","7,913 ",24.7,"83,858 ",21.63,"97,268 ",25.09,24.21,0.49,(186),"126,464 ","7,266 ","188,626 ","144,337 ",8.4
191,"2,340,446 ","912,853 ","26,103 ",40.1,39,1.12,"531,636 ",58.2,"381,217 ",41.8,"2,340,851 ","681,100 ","15,901 ",29.8,"177,418 ",26.05,"202,554 ",29.74,29.1,0.68,(405),"231,753 ","10,202 ","329,082 ","203,799 ",10.3
183,"2,079,392 ","901,539 ","26,837 ",44.6,43.36,1.29,"554,519 ",61.5,"347,020 ",38.5,"2,080,391 ","679,877 ","20,582 ",33.7,"193,503 ",28.46,"210,445 ",30.95,32.68,0.99,(999),"221,662 ","6,255 ","344,074 ","153,517 ",10.9
175,"2,656,815 ","1,332,677 ","43,607 ",51.8,50.16,1.64,"858,557 ",64.4,"474,120 ",35.6,"2,657,774 ","966,124 ","38,401 ",37.8,"265,779 ",27.51,"407,955 ",42.23,36.35,1.44,(959),"366,553 ","5,206 ","450,602 ","208,341 ",14
