district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Damanhour,دمنهور,48.2,51.8,220713,123898,5488,58.6,64159,59739
Kafr el-Dawar,كفر الدوار,66.1,33.9,188897,107670,3139,58.7,36537,71133
EL-Noubarya West,غرب النوباريه,73.6,26.4,14768,7138,171,49.5,1888,5250
Abu el-Matameer district,مركز ابوالمطامير,74.8,25.2,216684,91559,6617,45.3,23113,68446
Abu Hummus district,مركز ابوحمص,69.2,30.8,278892,125460,3241,46.1,38647,86813
Hush Isa district,مركز حوش  عيسى,83.5,16.5,152767,75023,1579,50.1,12362,62661
Rasheed district,مركز رشيد,51.8,48.2,148087,65483,1941,45.5,31552,33931
Shobrakheet district,مركز شبراخيت,45.4,54.6,161675,79933,1782,50.5,43615,36318
Wadee el-Natrun district,مركز وادى النطرون,54.6,45.4,26310,13430,236,51.9,6101,7329
Idku district,مركز ادكو,53.7,46.3,113458,52536,1529,47.7,24350,28186
Kafr el-Dawar district,مركز كفر الدوار,71.1,28.9,315913,144858,3395,46.9,41907,102951
Damanhur district,مركز دمنهور,58.3,41.7,291247,128874,3101,45.3,53785,75089
Rahmaniya district,مركز الرحمانيه,47.2,52.8,90519,37692,987,42.7,19898,17794
El Delengat district,مركز الدلنجات,64.4,35.6,208117,97545,1983,47.8,34679,62866
El Mahmudiya district,مركز المحموديه,45.3,54.7,163529,70533,1735,44.2,38561,31972
Itay el Barud distrist,مركزايتاى البارود,48.1,51.9,265007,135708,3327,52.5,70500,65208
Kum Hamada district,مركز كوم حماده,45.7,54.3,274621,145192,3738,54.2,78826,66366
Badr district,مركز بدر,55.4,44.6,89121,45739,1054,52.5,20414,25325
