district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Menya,المنيا,61.3,38.7,182702,75488,1098,41.9,46253,29235
Menya center,مركز المنيا,86.6,13.4,329995,108743,2478,33.7,94148,14595
Menya guedida,المنيا الجديدة,63.9,36.1,2689,1617,15,60.7,1034,583
Abou Qirqas district,مركز ابوقرقاص,83.7,16.3,302999,90573,2899,30.8,75829,14744
El Idwa district,مركز العدوة,94.7,5.3,128040,49875,1449,40.1,47227,2648
Beni Mazar district,مركز بني مزار,86.6,13.4,308882,108728,2373,36,94133,14595
Deer Mawas district,مركز ديرمواس,92.2,7.8,192714,64435,1862,34.4,59423,5012
Samallut district,مركز سمالوط,83.3,16.7,370503,117213,3189,32.5,97671,19542
Mataya district,مركز مطاي,81.8,18.2,161212,55779,1384,35.5,45618,10161
Magaga district,مركز مغاغة,84.5,15.5,281640,98449,2418,35.8,83216,15233
Malwa,ملوي,64.3,35.7,104071,39100,722,38.3,25152,13948
Malwa district,مركز ملوي,85.8,14.2,353500,106094,3278,30.9,91000,15094
Total,الإجمالي,83,17,2718947,916094,23165,34.5,760704,155390
