district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Kafr Al-Sheikh district,مركز كفر الشيخ,69.5,30.5,253498,73208,1311,29.4,50878,22330
Berliss district,مركز البرلس,62.9,37.1,125366,35292,623,28.6,22213,13079
Bella,مركز بيلا,62.4,37.6,129064,29746,595,23.5,18565,11181
Dessouk district,مركز دسوق,66.4,33.6,236691,71511,1233,30.7,47478,24033
Sidi Salem district,مركز سيدى سالم,80.5,19.5,237106,65195,1059,27.9,52482,12713
Fouh district,مركز فوه,58.6,41.4,105298,31244,547,30.2,18301,12943
Alleen district,مركز قلين,78.4,21.6,145588,48580,691,33.8,38072,10508
Mtobass district,مركز مطوبس,70.6,29.4,140438,35324,574,25.6,24955,10369
Hamoul district,مركز الحامول,65.4,34.6,160430,40394,786,25.7,26418,13976
Dessouk,دسوق,34.1,65.9,81679,29466,309,36.5,10058,19408
Riadh district,مركز الرياض,79.8,20.2,106914,28944,596,27.6,23090,5854
Bella,بيلا,49.3,50.7,51097,13751,183,27.3,6781,6970
Kafr Al-Sheikh 1,أول كفر الشيخ,47.7,52.3,69896,28173,321,40.8,13427,14746
Kafr Al-Sheikh 2,ثان كفر الشيخ,46.7,53.3,43147,17726,164,41.5,8276,9450
Total,الإجمالي,65.8,34.2,1886212,548554,8992,29.6,360994,187560
